"place","place_label","location"
"http://www.wikidata.org/entity/Q664877","Railay Beach","Point(98.839444 8.010556)"
"http://www.wikidata.org/entity/Q6424164","Ko Panyi","Point(98.50305556 8.33555556)"
"http://www.wikidata.org/entity/Q15629547","Pa Tong","Point(98.3047 7.8981)"
"http://www.wikidata.org/entity/Q15629541","Kathu","Point(98.3475 7.9112)"
"http://www.wikidata.org/entity/Q15629844","Choeng Thale","Point(98.3132 7.9885)"
"http://www.wikidata.org/entity/Q15629842","Thep Krasatti","Point(98.3336 8.0299)"
"http://www.wikidata.org/entity/Q15629589","Pa Khlok","Point(98.3988 8.0121)"
"http://www.wikidata.org/entity/Q15629584","Si Sunthon","Point(98.3508 7.9978)"
"http://www.wikidata.org/entity/Q15629559","Chalong","Point(98.3452 7.8396)"
"http://www.wikidata.org/entity/Q15629557","Rawai","Point(98.3185 7.7707)"
"http://www.wikidata.org/entity/Q15629555","Karon","Point(98.3001 7.8165)"
"http://www.wikidata.org/entity/Q15629539","Ratsada","Point(98.39986 7.90916)"
"http://www.wikidata.org/entity/Q15141380","Wichit","Point(98.3682 7.8603)"
"http://www.wikidata.org/entity/Q844430","Phuket","Point(98.3975 7.888055555)"